,Unnamed: 0,Source File,Animal Name,Kingdom,Phylum,Class,Order,Family,Genus,Scientific Name,Prey,Name Of Young,Group Behavior,Fun Fact,Estimated Population Size,Biggest Threat,Most Distinctive Feature,Other Name(s),Gestation Period,Habitat,Diet,Litter Size,Lifestyle,Common Name,Number Of Species,Location,Slogan,Group,Skin Type,Top Speed,Lifespan,Weight,Length,Age of Sexual Maturity,Age of Weaning,Temperament,Training,title,genus,species,name
721,721,httpsa-z-animalscomanimalsdaniff.html,Daniff,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus familiaris,,,,,,,,,,,Omnivore,,,,,,,,,,,,,,,,,,,,
722,722,httpsa-z-animalscomanimalsdanios.html,Danios,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Danio,Danio rerio,"small insects, worms",,School,These fish make a popular choice for aquarium hobbyists due to their hardy nature.,,loss of habitat,Stripes down the side of most species,Zebra fish,1.5-2 days,"streams, ponds",Omnivore,,,Danios,27.0,,,,Scales,,Up to 5 years,,,,,,,,,,
723,723,httpsa-z-animalscomanimalsdanish swedish farmdog.html,Danish Swedish Farmdog,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus familiaris,,,,,,,,,,,Omnivore,,,,,,,,,,,,,,,,,,,,
724,724,httpsa-z-animalscomanimalsdapple dachshund.html,Dapple Dachshund,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,"A Dapple Dachshund’s dappling pattern may be just one spot, or it may be numerous spots and splashes on their coat.",,,,,,,Omnivore,,,,,,,,Hair,,12 to 16 years,16 to 32 pounds (standards); 11 pounds or less (miniature),,,,"Friendly, courageous, independent",,,,,
725,725,httpsa-z-animalscomanimalsdark-eyed junco.html,Dark-Eyed Junco,Animalia,Chordata,,Passeriformes,Passerellidae,Junco,,"plants, small fruits, and grains, spiders, insects",fledglings,Flock,They are called snowbirds because many subspecies reappear in the winter.,630 million,Climate change,,,,woodland areas,Omnivore,3-5 eggs,"Solitary</li><li class=""list-item"">Flock",,,"Canada, Mexico, North America",,,,,,0.6-1.1 ounces,5.5-6.3 inches,,,,,,,,
726,726,httpsa-z-animalscomanimalsdarkling beetle.html,Darkling Beetle,Animalia,Arthropoda,Insecta,Coleoptera,Tenebrionidae,,,,Larvae,,Darkling Beetles have segmented antennae. Each one is divided into eleven segments.,,Predators eating larvae,,,,Prefer dry and dark climates,Herbivore,,Nocturnal,,20000.0,"Asia, Africa, North America, South America, Europe, Australia",,,Shell,,,,0.5 - 1.5 inches,,,,,,,,
727,727,httpsa-z-animalscomanimalsdarwin’s fox.html,"Not found, error 404",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
728,728,httpsa-z-animalscomanimalsdarwin’s frog.html,"Not found, error 404",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
729,729,httpsa-z-animalscomanimalsdaug.html,Daug,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,Puppy,Solitary,"Because the Daug is so rare, they fetch a pretty penny. Dog lovers can pay up to $3,000 for one of these pups!",,,,,58-68 days,,Omnivore,5-6,Diurnal,Daug,,,,,Fur,,,,,6-9 months,6 weeks,,,,,,
730,730,httpsa-z-animalscomanimalsde brazza’s monkey.html,"Not found, error 404",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
731,731,httpsa-z-animalscomanimalsde kay’s brown snake.html,"Not found, error 404",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
732,732,httpsa-z-animalscomanimalsdeath adder.html,Death Adder,Animalia,Chordata,Reptilia,Squamata,Elapidae,Acanthophis,Acanthophis antarcticus,"Birds, small mammals",,,The Death Adder is more closely related to the Cobra than other Australian snakes.,,,,,,,,3-30+,,Death Adder,,,,,,,Up to 15 years,,,,,,,,,,
733,733,httpsa-z-animalscomanimalsdeathwatch beetle.html,Deathwatch Beetle,Animalia,Arthropoda,Insecta,Coleoptera,Ptinidae,Xestobium,Xestobium rufovillosum,,Larvae,Solitary,The adult deathwatch beetle taps on the wood to find a mate.,Unknown,,The mottled brown shell,Woodworm,A month,Anywhere with wood,Herbivore,40-80 eggs,,Deathwatch Beetle,1.0,Europe and North America,,,Exoskeleton,,2-10 years,1-5mg,5-9mm (0.2-0.4in),2-10 years,,,,,,,
734,734,httpsa-z-animalscomanimalsdeath’s head cockroach.html,"Not found, error 404",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
735,735,httpsa-z-animalscomanimalsdecorator crab.html,Decorator Crab,Animalia,Arthropoda,Malacostraca,Decapoda,Majoidea,,,"Invertebrates, fish, squid, other crustaceans",Zoea,Solitary,Recycle old decorations when they molt,,Predation and habitat loss,Decorate their shells with objects from their environment,Spider crabs,,Soft substrates and reefs,Omnivore,,,,,Worldwide,,,Shell,,,Varies,Varies,,,,,,,,
736,736,httpsa-z-animalscomanimalsdeer head chihuahua.html,Deer Head Chihuahua,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,The Chihuahua is the smallest dog breed in the world.,,,,,,,Omnivore,,,,,,,,Hair,,15 to 20 years,12 lbs,,,,"Charming, intelligent, and friendly",,,,,
737,737,httpsa-z-animalscomanimalsdeer mouse.html,Deer Mouse,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Peromyscus,,"Insects, larvae, and other invertebrates",Pups,"Mainly solitary</li><li class=""list-item"">Solitary except during mating season",Roughly 60 different species of deer mice range from Canada to Central America!,Varies by species; mostly unknown,Predators and disease,Light colored or white underside and dark upper body,"deer mouse, deermouse",21 to 37 days,"Forests, grasslands, shrublands, deserts, islands, mountains, and both icy cold and tropical forests. They thrive in areas with good cover, like bushes, long grasses, and forest undergrowth",Omnivore,"on average, about 4 to 5","Nocturnal</li><li class=""list-item"">Nocturnal/Crepuscular",Deer mouse,60.0,"North America, Central America",,,Fur,,About 1 year in the wild; up to 8 years in captivity,0.5 to 1.5 ounces,"About 5 to 11 inches, including the tail, with variability depending on the species",35 to 60 days,21 to 28 days,"Mostly docile, but can be fiercely aggressive when raising young",,,,,
738,738,httpsa-z-animalscomanimalsdeer tick.html,Deer Tick,Animalia,Arthropoda,Arachnida,Idodida,Ixodidae,Ixodes,Ixodes scapularis,Blood,Larvae,Solitary,Commonly found on white-tailed deer,,Ingestion by mites or nematodes,Black legs,"Deer tick, black-legged tick",1-30 days,,Omnivore,"300-3,000 eggs",,Deer tick,1.0,North America,,Ticks,Exoskeleton,,2 years,,2-6 mm,,,,,,,,
739,739,httpsa-z-animalscomanimalsdeer.html,Deer,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,,Odocoileus virginiana,,,,,,,,,,Dense forest and planted areas,Herbivore,1,Herd,,,,There are around 40 different species!,,Fur,43 mph,10 - 20 years,10kg - 450kg (22lbs - 990lbs),,,,,,Deer,,,"deer<ref>[http://arrow.latrobe.edu.au/store/3/4/3/2/5/public/b11775361v2.pdf 'deer' singular and plural] among examples (swine oe swin, deer oe deor, sheep oe sceap, horse oe hors, year oe gear, pound oe pana) -jespersen, a modern english grammar on historical principles, part ii syntax (first volume), ch.iii the unchanged plural (p. 49) ''arrow.latrobe.edu.au'' accessed 14 november 2020</ref>"
740,740,httpsa-z-animalscomanimalsdeinocheirus.html,Deinocheirus,Animalia,Chordata,,,Deinocheiridae,Deinocheirus,Deinocheirus mirificus,Fish,,,"Despite being bipedal, Deinocheirus had a large forearm",,,Deinocheirus had giant sails on its back,,,"Shallow lakes, mudflats, streams, and river channels",Omnivore,,,,,,,,,,,"14,330 pounds",36 feet,,,,,Deinocheirus,deinocheirus,mirificus,
741,741,httpsa-z-animalscomanimalsdeinosuchus.html,Deinosuchus,Animalia,Chordata,Reptilia,Crocodilia,Alligatoroidea,Deinosuchus,Deinosuchus hatcheri,"<a href=""https://a-z-animals.com/animals/fish/"">Fish</a>, sea turtles, and other marine reptiles.",,,Deinosuchus was probably the biggest crocodilian that ever lived,,,Deinosuchus had a broad and enlongated skulll,,,Both sides of the North American Western Interior Seaway.,Carnivore,,,,,,,,,,,5511.6-30864.7 lbs,26-33 ft,,,,,,,,
742,742,httpsa-z-animalscomanimalsdesert ghost ball python.html,Desert Ghost Ball Python,Animalia,Chordata,Reptilia,Squamata,Pythonidae,Python,Python regius,"rats, mice, birds, lizards",,Solitary except during mating season,Desert ghost ball pythons are even more beautiful when they're bred with another type like enchi ball pythons.,,,"Blushing along the sides, slightly faded head stripes.",enhancer ball python,,,Omnivore,3-15,Nocturnal,,,,,,Scales,,20-30 years,5-8 pounds,4-6 feet,2-4 years,,,,,,,
743,743,httpsa-z-animalscomanimalsdesert kingsnake.html,Desert Kingsnake,Animalia,Chordata,Reptilia,Squamata,Colubridae,Lampropeltis,Lampropeltis splendida,,,,The desert kingsnake rolls over and plays dead when it feels threatened.,,,,,,,Carnivore,,,Desert Kingsnake,,,,,,,12-20 years,,3-4 feet,,,,,,,,
744,744,httpsa-z-animalscomanimalsdesert locust.html,Desert Locust,Animalia,Arthropoda,Insecta,Orthoptera,Acrididae,Schistocerca,Schistocerca gregaria,,Nymphs and hoppers,Swarm,Solitary locusts are grey while gregarious locusts are yellow with stripes.,,Pesticides,Spotted wings,"Acridid, grasshopper",2 weeks,"Desert, dry grassland",Herbivore,100 eggs,,,,,,,Exoskeleton,19 mph,5 months,2 grams,8 cm,4 weeks to 6 months,,,,,,,
745,745,httpsa-z-animalscomanimalsdesert rain frog.html,Desert Rain Frog,Animalia,Chordata,Amphibia,Anura,Brevicipitidae,Breviceps,Breviceps macrops,,,,The desert rain frog doesn't hop,unknown,Humans,"Large body, small limbs","Boulenger's short-headed, frogweb-footed rain frog",,Sand dunes,Omnivore,12–40,,,,,,,Permeable,,2 to 15 years,Up to 0.4 oz,2–2.5 inches,,,,,,,,
746,746,httpsa-z-animalscomanimalsdesert tortoise.html,Desert Tortoise,Animalia,Chordata,Reptilia,Testudines,Testudinidae,Gopherus,Gopherus Agassizii,,,,,,,,,,Sandy desert plains and rocky hills,Herbivore,,Solitary,,,,Lives in burrows underground!,,Scales,0.3 mph,25 - 60 years,4kg - 7kg (8lbs - 15lbs),25cm - 36cm (10in - 14in),,,,,,,,
747,747,httpsa-z-animalscomanimalsdesert wolf.html,Desert Wolf,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus arabs,"Reptiles, Rodents, Insects, Hares, Foxes , Ibexes, Ariel gazelle",Puppy,"Group</li><li class=""list-item"">Pair",These tiny wolves prefer to cohabitate in pairs or groups of three (generally two males and a female).,1150 individuals,Habitat loss,,Arabian wolf,65 to 68 days," Gravel plains, mountainous areas, and desert fringes",Carnivore,2 to 3 pups,Nocturnal,Desert Wolf,,,,,Fur,,5 to 6 years,45 pounds,,,6 to 8 weeks,,,,,,
748,748,httpsa-z-animalscomanimalsdesmostylus.html,Desmostylus,Animalia,Chordata,Mammalia,Desmostylia,Desmostylidae,Desmostylus,Desmostylus japonicus,,,,Desmostylus has no living descendant.,,,,,,Shallow waters in the coastal regions,Herbivore,,,,,,,,,,,2829 lb,9 feet,,,,,,,,
749,749,httpsa-z-animalscomanimalsdeutsche bracke.html,Deutsche Bracke,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis Lupus,,,,,,,,,,,Omnivore,,,Deutsche Bracke,,,Has long drop ears and a long narrow tail!,Hound,Hair,,12 years,18kg (40lbs),,,,,,,,,
750,750,httpsa-z-animalscomanimalsdevil’s coach horse beetle.html,"Not found, error 404",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
751,751,httpsa-z-animalscomanimalsdevon rex.html,Devon Rex,Animalia,Chordata,Mammalia,Carnivora,Felidae,Felis,Felis catus,,,,,,,,Pixie cat,,,Omnivore,,,Devon Rex,,,,,Hair,,9-15 years,6-9 pounds,,,,,,Devon Rex,,,devon rex
752,752,httpsa-z-animalscomanimalsdhole.html,Dhole,Animalia,Chordata,Mammalia,Carnivora,Canidae,Cuon,Cuon alpinus,,,,,,,,,,Dry forest and thick jungle,Carnivore,8,Pack,,,,"Only 2,000 left in the wild!",,Fur,45 mph,10 - 13 years,12kg - 20kg (26lbs - 44lbs),75cm - 110cm (29in - 43in),,,,,Dhole,cuon,alpinus,dhole
753,753,httpsa-z-animalscomanimalsdiamond python.html,Diamond Python,Animalia,,,,,,,"mice, rats, possums, birds, lizards, frogs",,Solitary except during mating season,These pythons live at higher altitudes and further south than any other python species.,,Habitat loss,Diamond-shaped rosettes in their pattern,diamond carpet python,,,,up to 54,"Nocturnal</li><li class=""list-item"">Diurnal",,,Southeastern Australia,,,Scales,,20+ years,,6.5-10 feet,3-5 years,,,,,,,
754,754,httpsa-z-animalscomanimalsdiamondback moth.html,Diamondback Moth,Animalia,Arthropoda,Insecta,Lepidoptera,Plutellidae,Plutetalla,Plutella xylostella,,Caterpillar,Infestation,Adult males make high amplitude boing noise to attract females,100-150 per square metre on plants,humans,Diamond patterns on the wing,Cabbage moth,25-30 days,,Herbivore,160,Nocturnal,Diamondback Moth,,,,,,,12 to 16 days,N/a,6mm,25-30 days,N/a,,,,,,
755,755,httpsa-z-animalscomanimalsdickcissel.html,Dickcissel,Animalia,Chordata,Aves,Passeriformes,Cardinalidae,Spiza,Spiza americana,"Insects, Arachnids",,"Flock</li><li class=""list-item"">Breeding pair",They have a unique call that they are named for.,28 million,"Loss of habitat, illegal hunting",Yellow eye wing,,,,Omnivore,,,,,,,,Feathers,,, 0.9 to 1.4 ounces,5.5 and 6.3 inches,,,,,Dickcissel,spiza,americana,dickcissel
756,756,httpsa-z-animalscomanimalsdickinsonia.html,Dickinsonia,Animalia,,,,,,,,,,,,,,,,,Herbivore,,,Dickinsonia,9.0,"Australia, India, Ukraine, Russia, and China",,,Plate-like scales,,,,Up to 4 ft and 7 inches,,,,,,,,
757,757,httpsa-z-animalscomanimalsdik-dik.html,Dik-Dik,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Madoqua,Madoqua,,Calf,Pair,Dik-diks use a tar-like liquid from their eye glands to mark their territory!,Unknown,Hunting and habitat loss,Small pointed snout,"Madoqua, small antelope",5-6 months,"Savannahs, shrublands, bushes",Herbivore,1,,Dik-dik,4.0,Eastern and southern parts of Africa,,,Hair,25 mph,5-10 years,7-14 lbs,1.5-2.5 feet,12 months,3 months,,,,,,
758,758,httpsa-z-animalscomanimalsdilophosaurus.html,Dilophosaurus,Animalia,Chordata,Reptilia,Saurischia,Dilophosauridae,Dilophosaurus,Dilophosaurus wetherilli,smaller dinosaurs and other reptiles,,,Dilophosaurus was the largest predatory dinosaur in North America during the Early Jurassic Epoch of the Jurassic Period.,,,The pair of keratin-covered crests on its head,,,,Carnivore,,,,,North America,,,,,,880 lbs,23 ft,,,,,,,,
759,759,httpsa-z-animalscomanimalsdimetrodon.html,Dimetrodon,Animalia,Chordata,,,Sphenacodontidae,Dimetrodon,Dimetrodon limbatus,"<a href=""https://a-z-animals.com/animals/fish/"">Fish</a> and other amphibians",larvae,,Dimetrodon was among the largest predators of the Early Permian Period.,,,Dimetrodon had a massive sail on its back,,,"Swampy areas, scrublands and muddy water",Carnivore,,,,,,,,,,,60–550 pounds,6–15 feet,,,,,Dimetrodon,,dimetrodon,
760,760,httpsa-z-animalscomanimalsdiminutive woodrat.html,Diminutive Woodrat,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Nelsonia,"Nelsonia goldmani goldmani, Nelsonia goldmani cliftoni, Nelsonia neotomodon",Insects,,,The presence of a Nelsonia tail in a tree indicates that these woodrats may be arboreal at times.,,Logging,,,,"Cool, moist, forested heights.",Omnivore,,,Diminutive woodrat,2.0,Mexico,,,Fur,,,,About 9 to 10 inches,,,,,,,,
761,761,httpsa-z-animalscomanimalsdingo.html,Dingo,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis Lupus Dingo,,,,,,,,,,"Desert, wet and dry forests",Carnivore,6,Pack,,,,Natively found on the Australian continent!,,Fur,30 mph,7 - 15 years,13kg - 20kg (28lbs - 44lbs),100cm - 125cm (39in - 49in),,,,,Dingo,canis,lupus,
762,762,httpsa-z-animalscomanimalsdinocrocuta.html,Dinocrocuta,Animalia,Chordata,Mammalia,Carnivora,Percrocutidae,Dinocrocuta,Dinocrocuta gigantea,Chilotherium (prehistoric tusked rhinoceros),,,Dinocrucuta had very strong jaws capable of crushing bones.,,Amphicyon (bear dogs),Dinocorcuta had a massive skull,,,Grasslands,Carnivore,,,,4.0,,,,Fur,,,661 pounds,4.3 feet,,,,,,,,
763,763,httpsa-z-animalscomanimalsdinofelis.html,Dinofelis,Animalia,Chordata,Mammalia,Carnivora,Felidae,Dinofelis,,,,,,,,,,,,Omnivore,,,,,,,,,,,,,,,,,,,,
764,764,httpsa-z-animalscomanimalsdinopithecus.html,Dinopithecus,Animalia,Chordata,Mammalia,Primates,Cercopithecidae,Dinopithecus,D. ingens,Unknown,,,The only species currently recognized of this ancient baboon is Dinopithecus ingens.,,Climate change,Extremely large,,,,Omnivore,,,,,,,,Fur,,,64-101 lbs,,,,,,Dinopithecus,dinopithecus,ingens,
765,765,httpsa-z-animalscomanimalsdinosaur shrimp.html,Dinosaur Shrimp,Animalia,Arthropoda,Branchiopoda,Notostraca,Triopsidae,Triops,T. longicaudatus,"Insects, small fry, tadpoles, worms",,"Solitary</li><li class=""list-item"">Group","These ""shrimp"" evolved to survive very harsh climates, which is one reason they have been able to live so long.",,,,"Tripods, shield shrimp, tadpoles",,Temporary pools of water,Omnivore,,,,13.0,Every continent except Antarctica,,,Smooth,,20-90 days,,Up to 1.6 inches,2-3 weeks,,,,,,,
766,766,httpsa-z-animalscomanimalsdinosaurs.html,Dinosaurs,Animalia,,,,,,,Other dinosaurs,,Solitary/Group,,,,,,,,Omnivore,,,,700.0,Worldwide,,,Scales,,,,,,,,,,,,
767,767,httpsa-z-animalscomanimalsdiplodocus.html,Diplodocus,Animalia,Chordata,Reptilia,Saurischia,Diplodocidae,Diplodocus,Diplodocus longus,Leaves and ferns,,Herd,Their long tales could have been used as a whip!,,Predators eating juveniles,Long neck with 15 vertebrae,"Sauropods, long-neck",,"Grassland, Edge of Forest, Prairie",Herbivore,3-5 Eggs,Herd,Brontosaur,3.0,Mid-West of North America,,Diplodocus,Scales,9 mph,70-80 years,10-11 tons,85 feet,10 years,,Naive,,,,,
768,768,httpsa-z-animalscomanimalsdiprotodon.html,Diprotodon,Animalia,Annelida,Mammalia,Diprotodontia,Diprotodontidae,Diprotodon,Diprotodon optatum,,,Herd,Diprotodon was the largest marsupial that ever lived.,,"Human activities, climate change",Prominent front teeth,,,"Semi-arid plains, savannahs, and open woodlands",Herbivore,,Herd,Giant wombat,1.0,Australia,,,Fur,,,6000 pounds,12 feet,,,,,,,,
769,769,httpsa-z-animalscomanimalsdire wolf.html,Dire Wolf,Animalia,,,,,,,,,,,,,,,,,Omnivore,,,,,,,,,,,,,,,,,,,,
770,770,httpsa-z-animalscomanimalsdisco clam.html,Disco Clam,Animalia,Mollusca,Bivalvia,Limida,Limidae,Ctenoides,C. ales,Plankton,Larvae,Solitary,Can spray acidic mucus at predators,Unknown,Climate change,Flashing light display,"Electric flame scallop, electric clam, disco scallop",,Coral reefs,Omnivore,,,,1.0,Indo-Pacific,,,Shell,,Up to 30 years,,Up to 4 inches,,,,,,,,
771,771,httpsa-z-animalscomanimalsdiscus.html,Discus,Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,Symphysodon,,Small invertebrates and plant matter,Fry,School,The discus can change its colors slightly based on personal and environmental factors,Unknown,Habitat change,Bright colors,Pompadour fish,3 to 4 days,"Deep, slow-moving waters",Omnivore,,Diurnal,Discus,3.0,"<a href=""https://a-z-animals.com/animals/location/south-america/brazil/"">Brazil</a>, Columbia and Peru",One of the only schooling Cichlids!,Fish,Scales,,10 to 15 years in captivity,150g – 250g,12.3cm – 15.2cm (4.8in – 6in),1 - 3 years,,,,,,,
772,772,httpsa-z-animalscomanimalsdiving bell spider (water spider).html,"Not found, error 404",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
773,773,httpsa-z-animalscomanimalsdiving duck.html,Diving Duck,Animalia,Chordata,Aves,Anseriformes,Anatidae,,,,duckling,"Social</li><li class=""list-item"">Flock",Diving ducks can forage for food at depths of over 40 feet and stay underwater for up to one minute.,,humans,,"bay ducks, sea ducks, scaups, pochards",,"coasts, estuaries, tidal lagoons, and seas, lakes, ponds, wetlands",,5-15 eggs,"Flock</li><li class=""list-item"">Social",diving duck,15.0,,,,Feathers,,5-22 years,,,,,,,,,,
